"","category","word","mean_rating"
"1","deadline","accomplish",8.77777777777778
"2","deadline","action",7.6
"3","deadline","anxieti",7.82352941176471
"4","deadline","anxious",8.31578947368421
"5","deadline","approach",7.625
"6","deadline","arrang",7.66666666666667
"7","deadline","articl",7.77777777777778
"8","deadline","assign",7.35135135135135
"9","deadline","backbreak",7.66666666666667
"10","deadline","befor",7.1
"11","deadline","boss",7.3125
"12","deadline","boundari",8.1
"13","deadline","busi",8.84615384615385
"14","deadline","calendar",8.90476190476191
"15","deadline","clock",7.90909090909091
"16","deadline","clock time",8.5
"17","deadline","close",8.64705882352941
"18","deadline","commit",7.47826086956522
"19","deadline","complet",8.51282051282051
"20","deadline","concentr",7.5
"21","deadline","conclud",7.19047619047619
"22","deadline","conclus",8.33333333333333
"23","deadline","date",8.26666666666667
"24","deadline","date stamp",7.27272727272727
"25","deadline","day of the month",7.71428571428571
"26","deadline","decis",8.66666666666667
"27","deadline","demand",8.53333333333333
"28","deadline","dissert",7.05263157894737
"29","deadline","do work",9.5
"30","deadline","document",7.47368421052632
"31","deadline","done",7.63636363636364
"32","deadline","due",9
"33","deadline","due date",10
"34","deadline","employ",7.11111111111111
"35","deadline","end",8.69444444444444
"36","deadline","end goal",9.57142857142857
"37","deadline","end is in sight",8.28571428571429
"38","deadline","enforc",7.94117647058824
"39","deadline","essay",7.47368421052632
"40","deadline","expect",8.18181818181818
"41","deadline","extend",7.36666666666667
"42","deadline","extens",8.09523809523809
"43","deadline","final",7.83870967741935
"44","deadline","final exam",9
"45","deadline","final examin",8.5
"46","deadline","final stage",8.25
"47","deadline","fini",9.2
"48","deadline","finish",8.86046511627907
"49","deadline","finish up",8.6
"50","deadline","focus",7.59259259259259
"51","deadline","form",7.9
"52","deadline","forthcom",8
"53","deadline","goal",8.5
"54","deadline","hast",7.85714285714286
"55","deadline","hasten",7.16666666666667
"56","deadline","homework",9
"57","deadline","hurri",9.3
"58","deadline","immin",8.8
"59","deadline","impend",7.5
"60","deadline","import",9.4
"61","deadline","job",7.90476190476191
"62","deadline","limit",7.76923076923077
"63","deadline","limit point",7.63636363636364
"64","deadline","loom",8.37037037037037
"65","deadline","make",8
"66","deadline","manag",7.34545454545455
"67","deadline","matur date",8.14285714285714
"68","deadline","meet",7.61904761904762
"69","deadline","militari mission",7.25
"70","deadline","miss",7.13636363636364
"71","deadline","motiv",7.77777777777778
