;category;word;orig_eng_rating
1;deadline;comp;9.03194444444444
2;deadline;Azion;7.6
3;deadline;mir;7.11111111111111
4;deadline;ansi;8.34444444444444
5;deadline;ansios;7.4
6;deadline;si avvicin;7.06666666666667
7;deadline;in avvicin;9.20833333333333
8;deadline;prepar;8.05787037037037
9;deadline;articol;7.77777777777778
10;deadline;assegn;7.22222222222222
11;deadline;incaric;8.38888888888889
12;deadline;Comp;8.1
13;deadline;massacr;7.66666666666667
14;deadline;Prim;7.1
15;deadline;cap;8
16;deadline;confin;8.1
17;deadline;attiv commercial;8.84615384615385
18;deadline;calendar;8.93636363636363
19;deadline;orolog;7.90909090909091
20;deadline;ora dell'orolog;8.5
21;deadline;chiud;8
22;deadline;chiusur;9.1
23;deadline;in arriv;7.71428571428571
24;deadline;impegn;7.4923076923077
25;deadline;complet;8.67234848484848
26;deadline;concentr;8.5
27;deadline;Conclud;7.83333333333333
28;deadline;conclusion;8.33333333333333
29;deadline;conferent;7.55555555555556
30;deadline;Dat;8.09090909090909
31;deadline;Contrassegn dell dat;7.27272727272727
32;deadline;dat;8.4
33;deadline;giorn del mes;7.71428571428571
34;deadline;decision;8.66666666666667
35;deadline;domand;7.71428571428571
36;deadline;richiest;9.25
37;deadline;Domand;8.44444444444444
38;deadline;dissert;8.44444444444444
39;deadline;Funzion;9.5
40;deadline;document;7.85
41;deadline;fatt;7.63636363636364
42;deadline;dov;8.28571428571428
43;deadline;scadenz;10
44;deadline;dover;7.75
45;deadline;sforz;8.42857142857143
46;deadline;occup;7.11111111111111
47;deadline;fin;8.99758297258297
48;deadline;obiett final;9.57142857142857
49;deadline;la fin è in vist;8.28571428571429
50;deadline;Conclus;7.63636363636364
51;deadline;imporr;8.375
52;deadline;Forz;7.55555555555556
53;deadline;impost;7.59090909090909
54;deadline;tem;7.18181818181818
55;deadline;Sagg;7.875
56;deadline;sagg;7.875
57;deadline;Tem;7.55555555555556
58;deadline;esatt;7.55555555555556
59;deadline;aspett;8.18181818181818
60;deadline;estend;9.71428571428571
61;deadline;estension;8.06363636363637
62;deadline;final;7.55555555555556
63;deadline;esam final;8.75
64;deadline;fas final;8.25
65;deadline;Final;8.45454545454546
66;deadline;finis;9.2
67;deadline;Termin;8.6
68;deadline;finitur;8.95
69;deadline;Focalizz;9.11111111111111
70;deadline;mess a fuoc;7.11111111111111
71;deadline;modul;7.9
72;deadline;prossim;8
73;deadline;obbiett;7.60833333333333
74;deadline;obiett;9.28571428571429
75;deadline;frett;8.64497354497355
76;deadline;affrett;8.08333333333334
77;deadline;comp a cas;9
78;deadline;imminent;8.58148148148148
79;deadline;import;9.4
80;deadline;insistent;7.375
81;deadline;lavor;8.75
82;deadline;ultim;7
83;deadline;tard;7.375
84;deadline;lim;8.87777777777778
85;deadline;punt lim;7.63636363636364
86;deadline;limit;7.33333333333333
87;deadline;incomb;7.80555555555556
88;deadline;incombent;9.4
89;deadline;Far;8
90;deadline;gest;7.4
91;deadline;gestion;8.44444444444444
92;deadline;gestor;7.85714285714285
93;deadline;dat di scadenz;8.14285714285714
94;deadline;riunion;8.16666666666667
